maxsimulationtime=1000	models=Manhattan	locationinitializer=Null	maps=Manhattan	vlines=50,250,450,	dir12lanespace=5	width=500	hlines=50,250,450,	height=500	rangealgorithms=NullPowerAlgorithm	maxacceleration=2	maxspeed=10	fixedacceleration=false	minspeed=5	maxpausetime=10	positiveaccratio=2.0	safedistanceratio=2.0	nodenumber=10	defaultfilter=edu.sharif.ce.dml.common.data.trace.filter.DirectoryFilter	fileaddress=output	isinput=false	multiple=false	filenamegenerator=simple	seed=outputtrace	numberiterate=true	tracewriter=text
Time	Node	PositionX	PositionY	Speed	Direction Angle	Range
57	8	255	30	10	1057	0
57	9	480	255	10	3014	0
58	0	250	242	4017	-1057	0
58	1	450	109	10	-1057	0
58	2	250	110	10	-1057	0
58	3	14	255	9085	3014	0
58	4	255	355	3029	1057	0
58	5	450	270	10	-1057	0
58	6	422	55	8022	3014	0
58	7	218	450	6091	0	0
58	8	255	38	8077	1057	0
58	9	470	255	10	3014	0
59	0	250	236	5033	-1057	0
59	1	450	99	10	-1057	0
59	2	250	100	10	-1057	0
59	3	5	255	8075	3014	0
59	4	255	358	2088	1057	0
59	5	450	260	10	-1057	0
59	6	414	55	7072	3014	0
59	7	225	450	6092	0	0
59	8	255	48	9093	1057	0
59	9	460	255	10	3014	0
60	0	250	229	7003	-1057	0
60	1	450	89	10	-1057	0
60	2	250	90	9039	-1057	0
60	3	0	255	10	3014	0
60	4	255	361	2067	1057	0
60	5	450	255	10	-1057	0
60	6	408	55	5092	3014	0
60	7	230	450	5031	0	0
60	8	255	50	8034	1057	0
60	9	455	255	10	3014	0
61	0	250	222	705	-1057	0
61	1	450	79	10	-1057	0
61	2	250	81	9017	-1057	0
61	3	0	250	10	0	0
61	4	255	363	1091	1057	0
61	5	450	255	10	-1057	0
61	6	400	55	7068	3014	0
61	7	235	450	4074	0	0
61	8	255	59	9023	1057	0
61	9	455	265	10	1057	0
62	0	250	213	8084	-1057	0
62	1	450	69	10	-1057	0
62	2	250	72	9017	-1057	0
62	3	10	250	10	0	0
62	4	255	363	003	1057	0
62	5	450	245	10	-1057	0
62	6	394	55	6026	3014	0
62	7	241	450	6	0	0
62	8	255	69	10	1057	0
62	9	455	275	10	1057	0
63	0	250	203	10	-1057	0
63	1	450	59	10	-1057	0
