Iter,refId,refPX,refPY,cmpId,cmpPX,cmpPY
191,9,195,178,8,166,143
192,2,126,94,4,77,130
192,2,126,94,8,162,139
192,4,77,130,2,126,94
192,8,162,139,2,126,94
192,8,162,139,9,192,174
192,9,192,174,8,162,139
193,2,131,100,4,86,133
193,2,131,100,8,157,135
193,4,86,133,2,131,100
193,4,86,133,5,56,177
193,5,56,177,4,86,133
193,8,157,135,2,131,100
193,8,157,135,9,190,169
193,9,190,169,8,157,135
194,2,137,106,4,95,136
194,2,137,106,8,153,131
194,4,95,136,2,137,106
194,4,95,136,5,54,171
194,5,54,171,4,95,136
194,8,153,131,2,137,106
194,8,153,131,9,187,165
194,9,187,165,8,153,131
195,2,142,113,4,104,138
195,2,142,113,8,149,128
195,2,142,113,9,185,161
195,4,104,138,2,142,113
195,4,104,138,8,149,128
195,8,149,128,2,142,113
195,8,149,128,4,104,138
195,8,149,128,9,185,161
195,9,185,161,2,142,113
195,9,185,161,8,149,128
196,2,147,119,4,113,141
196,2,147,119,8,144,124
196,2,147,119,9,182,156
196,4,113,141,2,147,119
196,4,113,141,8,144,124
196,8,144,124,2,147,119
196,8,144,124,4,113,141
196,8,144,124,9,182,156
196,9,182,156,2,147,119
196,9,182,156,8,144,124
197,2,152,125,4,122,144
197,2,152,125,8,140,120
197,2,152,125,9,179,152
197,4,122,144,2,152,125
197,4,122,144,8,140,120
197,8,140,120,2,152,125
197,8,140,120,4,122,144
197,8,140,120,9,179,152
197,9,179,152,2,152,125
197,9,179,152,8,140,120
198,2,157,131,4,131,147
198,2,157,131,8,136,116
198,2,157,131,9,177,148
198,4,131,147,2,157,131
198,4,131,147,8,136,116
198,4,131,147,9,177,148
198,8,136,116,2,157,131
198,8,136,116,4,131,147
198,8,136,116,9,177,148
198,9,177,148,2,157,131
198,9,177,148,4,131,147
198,9,177,148,8,136,116
199,2,162,137,4,140,150
199,2,162,137,8,131,112
199,2,162,137,9,174,143
199,4,140,150,2,162,137
199,4,140,150,8,131,112
199,4,140,150,9,174,143
199,8,131,112,2,162,137
199,8,131,112,4,140,150
199,8,131,112,9,174,143
199,9,174,143,2,162,137
199,9,174,143,4,140,150
199,9,174,143,8,131,112
200,2,167,143,4,148,153
200,2,167,143,8,127,109
200,2,167,143,9,172,139
200,4,148,153,2,167,143
200,4,148,153,8,127,109
200,4,148,153,9,172,139
200,8,127,109,2,167,143
200,8,127,109,4,148,153
200,8,127,109,9,172,139
200,9,172,139,2,167,143
200,9,172,139,4,148,153
200,9,172,139,8,127,109
201,2,172,150,4,157,156
201,2,172,150,8,123,105
201,2,172,150,9,169,135
201,4,157,156,2,172,150
201,4,157,156,9,169,135
201,8,123,105,2,172,150
201,8,123,105,9,169,135
201,9,169,135,2,172,150
201,9,169,135,4,157,156
201,9,169,135,8,123,105
202,2,177,156,4,166,158
202,2,177,156,9,166,130
202,4,166,158,2,177,156
202,4,166,158,9,166,130
202,8,118,101,9,166,130
202,9,166,130,2,177,156
202,9,166,130,4,166,158
202,9,166,130,8,118,101
203,2,182,162,4,175,161
203,2,182,162,9,164,126
203,4,175,161,2,182,162
203,4,175,161,9,164,126
203,9,164,126,2,182,162
203,9,164,126,4,175,161
204,2,188,168,4,184,164
204,2,188,168,9,161,122
204,4,184,164,2,188,168
204,4,184,164,9,161,122
204,9,161,122,2,188,168
204,9,161,122,4,184,164
205,2,193,174,4,193,167
205,4,193,167,2,193,174
206,2,198,180,4,202,170
206,4,202,170,2,198,180
207,2,203,186,4,211,173
207,4,211,173,2,203,186
208,2,208,193,4,220,176
208,4,220,176,2,208,193
209,2,213,199,4,229,179
209,4,229,179,2,213,199
210,0,217,307,6,266,266
210,2,218,205,4,238,181
210,4,238,181,2,218,205
210,6,266,266,0,217,307
210,6,266,266,7,314,260
210,7,314,260,6,266,266
211,0,219,315,6,263,272
211,2,223,211,4,247,184
211,4,247,184,2,223,211
211,6,263,272,0,219,315
211,6,263,272,7,308,264
211,7,308,264,6,263,272
212,0,220,323,6,260,278
212,2,228,217,4,256,187
212,4,256,187,2,228,217
212,6,260,278,0,220,323
212,6,260,278,7,302,267
212,7,302,267,6,260,278
213,0,222,331,6,257,285
213,2,234,223,4,265,190
213,4,265,190,2,234,223
213,6,257,285,0,222,331
213,6,257,285,7,296,271
213,7,296,271,6,257,285
213,8,90,77,9,138,83
213,9,138,83,8,90,77
214,0,224,339,6,253,291
214,2,239,230,4,274,193
214,4,274,193,2,239,230
214,6,253,291,0,224,339
214,6,253,291,7,290,275
214,7,290,275,6,253,291
214,8,92,83,9,135,78
214,9,135,78,8,92,83
215,2,244,236,4,283,196
215,2,244,236,7,284,278
215,4,283,196,2,244,236
215,6,250,297,7,284,278
215,7,284,278,2,244,236
215,7,284,278,6,250,297
215,8,93,90,9,133,74
215,9,133,74,8,93,90
216,2,249,242,4,292,199
216,2,249,242,7,278,282
216,3,176,21,9,130,70
216,4,292,199,2,249,242
